SUBJECT_DESC,CAMPUS_DESC,STUDENT_CAMPUS_DESC,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,MEETING_TYPE_DESC,CRN,Professor,Subject,Course,Section,Title,Credits,Building,Room,Sub Academic Term,Days,Time,Class Status TBA,Max Enrollment,Actual Enrolled,Course Text Narrative
"Malphrus, P. Ellen",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19806,"Malphrus, P. Ellen",ENGL,B222,001,Creative Writing across Curric,3,LIBR2,238,20 - Beaufort Full Term,M W    ,12:30 PM - 1:45 PM,,12,10,
"Malphrus, P. Ellen",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,24659,"Malphrus, P. Ellen",ENGL,B429,001,Topics in American Literature,3,LIBR2,238,20 - Beaufort Full Term, T Th   ,12:15 PM - 1:30 PM,,14,9,The Way(s) West
"Malphrus, P. Ellen",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19799,"Malphrus, P. Ellen",ENGL,B464,001,Poetry Workshop,3,LIBR2,238,20 - Beaufort Full Term,M W    ,3:20 PM - 4:35 PM,,12,14,
"Maraffi, Christopher",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,28332,"Maraffi, Christopher",ARTH,B201,B01,History of Animation in the US,3,SAND,111,20 - Beaufort Full Term,    F  ,9:30 AM - 12:00 PM,,10,8,
"Maraffi, Christopher",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,22709,"Maraffi, Christopher",MART,B102,B01,Media Design,3,SAND,111,20 - Beaufort Full Term,M W    ,9:30 AM - 12:00 PM,,18,10,
"Maraffi, Christopher",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,28331,"Maraffi, Christopher",MART,B201,B01,History of Animation in the US,3,SAND,111,20 - Beaufort Full Term,    F  ,9:30 AM - 12:00 PM,,6,2,
"Maraffi, Christopher",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19865,"Maraffi, Christopher",MART,B210,B01,Digital Animation 1,3,SAND,111,20 - Beaufort Full Term,M W    ,3:20 PM - 5:50 PM,,10,3,
"Maraffi, Christopher",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,28329,"Maraffi, Christopher",MART,B250,B01,Broadcast Design 1,3,SAND,111,20 - Beaufort Full Term, T Th   ,3:05 PM - 5:35 PM,,16,4,
"Maraffi, Christopher",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,22714,"Maraffi, Christopher",MART,B310,B01,Digital Animation 2,3,SAND,111,20 - Beaufort Full Term,M W    ,3:20 PM - 5:50 PM,,8,2,
"Marlowe, Bruce A.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19127,"Marlowe, Bruce A.",EDCI,B210,001,Clinical Obsrvation & Analysis,3,HARG,158,20 - Beaufort Full Term, T Th   ,9:25 AM - 10:40 AM,,25,23,
"Marlowe, Bruce A.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19130,"Marlowe, Bruce A.",EDEX,B300,001,Intro Exceptional Learner,3,HARG,158,20 - Beaufort Full Term,M W    ,3:20 PM - 4:35 PM,,25,5,
"Marlowe, Bruce A.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19145,"Marlowe, Bruce A.",EDFO,B321,001,Foundations of American Edu,3,HARG,158,20 - Beaufort Full Term,  W    ,4:45 PM - 7:45 PM,,25,16,
"Mathe, Alison M.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,20259,"Mathe, Alison M.",UNIV,B101,001,The Student in the University,3,SCITEC,231,20 - Beaufort Full Term, T Th   ,8:00 AM - 9:15 AM,,25,25,
"McAden, Jill M.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19147,"McAden, Jill M.",EDEL,B330,001,Arts in Elementary Education,3,HARG,158,20 - Beaufort Full Term,   Th   ,4:30 PM - 7:30 PM,,25,22,
"McCallister, Stephanie",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,24457,"McCallister, Stephanie",HIST,B101,002,Euro Civ to Mid 17th Century,3,HARG,276,20 - Beaufort Full Term, T Th   ,6:00 PM - 7:15 PM,,35,33,
"McCombs, Kelly L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19599,"McCombs, Kelly L.",HRTM,B242,001,Nutrition,3,LIBR2,243,20 - Beaufort Full Term, T Th   ,8:00 AM - 9:15 AM,,30,26,
"McCombs, Kelly L.",USC Beaufort,USC Beaufort,201608,Fall 2016,Class,19600,"McCombs, Kelly L.",HRTM,B242,PW0,Nutrition,3,2WEB,1,20 - Beaufort Full Term,       ,,TBA,35,29,
